,movie_name,genre,year,timeMin,imdb,metascore,votes,us_grossMillions
243,Memories of Murder,"Action, Crime, Drama            ",2003,132,8.1,82.0,119516,0.01
244,The Farewell,"Comedy, Drama            ",2019,100,7.6,89.0,36287,16.88
245,Mulan,"Animation, Adventure, Family            ",1998,88,7.6,71.0,238119,120.62
246,The Hunt,Drama            ,2012,115,8.3,77.0,260609,0.69
247,Stand by Me,"Adventure, Drama            ",1986,89,8.1,75.0,348126,52.29
248,Blue Is the Warmest Colour,"Drama, Romance            ",2013,180,7.7,88.0,131633,2.2
249,Mary Poppins,"Comedy, Family, Fantasy            ",1964,139,7.8,88.0,151145,102.27
250,Rear Window,"Mystery, Thriller            ",1954,112,8.4,100.0,421671,36.76
251,Moneyball,"Biography, Drama, Sport            ",2011,133,7.6,87.0,344549,75.61
252,Up,"Animation, Adventure, Comedy            ",2009,96,8.2,88.0,892712,293.0
253,Platoon,"Drama, War            ",1986,120,8.1,92.0,366692,138.53
254,"Monsters, Inc.","Animation, Adventure, Comedy            ",2001,92,8.0,79.0,779988,289.92
255,Casablanca,"Drama, Romance, War            ",1942,102,8.5,100.0,499207,1.02
256,The Imitation Game,"Biography, Drama, Thriller            ",2014,114,8.0,73.0,651903,91.13
257,The Incredibles,"Animation, Action, Adventure            ",2004,115,8.0,90.0,632082,261.44
258,Gangs of New York,"Crime, Drama            ",2002,167,7.5,72.0,389182,77.81
259,Hot Fuzz,"Action, Comedy, Mystery            ",2007,121,7.8,81.0,444952,23.64
260,The Help,Drama            ,2011,146,8.1,62.0,409012,169.71
261,The Lives of Others,"Drama, Mystery, Thriller            ",2006,137,8.4,89.0,341301,11.29
262,Amélie,"Comedy, Romance            ",2001,122,8.3,69.0,678890,33.23
263,Casino,"Crime, Drama            ",1995,178,8.2,73.0,440087,42.44
264,Gran Torino,Drama            ,2008,116,8.1,72.0,695622,148.1
265,WALL·E,"Animation, Adventure, Family            ",2008,98,8.4,95.0,955180,223.81
266,Crash,"Crime, Drama, Thriller            ",2004,112,7.8,66.0,410418,54.58
267,Boogie Nights,Drama            ,1997,155,7.9,85.0,228948,26.4
268,As Good as It Gets,"Comedy, Drama, Romance            ",1997,139,7.7,67.0,264906,148.48
269,Lawrence of Arabia,"Adventure, Biography, Drama            ",1962,228,8.3,100.0,255171,44.82
270,Mad Max 2: The Road Warrior,"Action, Adventure, Sci-Fi            ",1981,96,7.6,77.0,160516,12.47
271,Rush,"Biography, Drama, Sport            ",2013,123,8.1,74.0,413399,26.95
272,True Grit,"Drama, Western            ",2010,110,7.6,80.0,297297,171.24
273,The Pursuit of Happyness,"Biography, Drama            ",2006,117,8.0,64.0,426360,163.57
274,Aladdin,"Animation, Adventure, Comedy            ",1992,90,8.0,86.0,353170,217.35
275,Unforgiven,"Drama, Western            ",1992,130,8.2,85.0,358542,101.16
276,Atonement,"Drama, Mystery, Romance            ",2007,123,7.8,85.0,238259,50.93
