Cust_id,AVG_Actual_price_12,Purchase_Value,No_of_Items,Total_Discount,MONTH_SINCE_LAST_TRANSACTION
756,4980.649583,36169.73,9,5425.27,5
758,8500,8500,1,0,2
759,7200,28800,4,0,1
760,3428.144167,29147.86,8,10452.14,2
761,415,1660,4,31540,3
763,7470,14940,2,1660,1
764,2875,5750,2,0,4
766,1619.722222,54017.5,29,72832.5,1
767,625,2500,4,7500,1
768,1195,1195,1,0,4
776,4150,8300,2,8300,4
777,2054.875,31569,17,32021,3
778,1146.491228,79350,78,266950,3
779,1620.454545,17825,11,64575,1
780,2875,5750,2,0,8
781,1634.184211,34917,23,49383,1
783,6640,6640,1,1660,2
787,915,7290,10,1310,2
788,5200,22900,5,0,1
792,4225,19000,5,0,6
793,5275,15825,3,3575,4
794,2550,5100,2,0,1
795,420,8400,20,33600,5
797,2301.428571,16110,7,1790,1
798,2200,4400,2,0,5
799,250,1000,4,1000,7
800,3315,3315,1,585,12
803,525,2100,4,6300,6
805,662.8125,22890,36,90910,1
806,6500,13000,2,0,10
807,3330,3330,1,370,5
809,500,500,1,0,1
810,929.7447826,21384.13,23,43710.87,1
811,1100,6600,6,33000,11
812,1431.666667,4295,3,4455,4
814,540,5670,12,19530,3
815,1190,7140,5,3360,6
816,3700,3700,1,0,11
819,5463,5463,1,274,11
820,1850,10900,6,10900,7
821,3460,40850,14,6750,11
822,7470,14940,2,1660,5
824,866.6666667,15600,18,41400,1
829,8300,8300,1,0,1
830,340,3400,10,13600,1
831,3847.5,7695,2,405,11
832,4859,9718,2,487,11
834,2100,2100,1,0,3
835,1810.909091,19920,11,71380,2
836,2100,4200,2,0,12
838,1995,1995,1,105,11
839,552.5,552.5,1,97.5,12
840,2525,5050,2,0,4
841,2700,8100,3,0,9
842,2342.222222,42160,18,7440,2
844,6000,18000,3,0,1
847,2860,14300,5,24900,8
848,694.83,694.83,1,-44.83,11
850,1147.5,4590,4,15810,4
851,961.875,15390,16,53010,7
852,981.25,7850,8,7850,5
853,3000,6000,2,6000,7
854,3230,9690,3,2260,5
855,1113.426667,3340.28,3,2054.72,7
856,4064.993333,12194.98,3,2755.02,11
857,8500,17000,2,0,5
858,5100,5100,1,0,5
859,2253.62,2253.62,1,-153.62,6
860,4122.5,13345,3,2355,8
861,1908.333333,22900,12,22900,3
863,3930,11790,3,1310,4
